RequestId,Date Initiated,Description,Address,Zip Code,Initiated By,Date Time Closed,Status,X Coordinate,Y Coordinate,lon,lat,Request Type,Proactive,Initiated by Resident,Received by Engineer,Resident Contacted,On Hold Pending Other Action,Date In Progress,Date Complete
349133,10/17/2017 6:33,Neighborhood Traffic Issue,2300 QUIET OAK LN,,"Integration, Citysourced",10/18/2017 2:49,CLOSED,2467630.262,7097695.004,33.1293892,-96.86941544,,,,,,,,
349135,10/17/2017 8:32,Neighborhood Traffic Issue,2300 QUIET OAK LN,,"Integration, Citysourced",10/18/2017 2:51,CLOSED,2467625.908,7097679.655,33.1293472,-96.86943044,,,,,,,,
349136,10/17/2017 8:33,Neighborhood Traffic Issue,1700 SADDLE TREE RD,,"Integration, Citysourced",10/18/2017 2:53,CLOSED,2465411.363,7097688.292,33.1294652,-96.87666343,,,,,,,,
349138,10/17/2017 9:28,Neighborhood Traffic Issue,2300 QUIET OAK LN,,"Integration, Citysourced",10/18/2017 2:55,CLOSED,2467621.17,7097689.042,33.1293732,-96.86944544,,,,,,,,
349139,10/17/2017 9:43,Neighborhood Traffic Issue,2300 QUIET OAK LN,,"Integration, Citysourced",10/18/2017 2:57,CLOSED,2467632.017,7097654.057,33.12927659,-96.86941178,,,,,,,,
349141,10/17/2017 10:25,Neighborhood Traffic Issue,2300 QUIET OAK LN,,"Integration, Citysourced",10/18/2017 2:59,CLOSED,2467623.24,7097693.44,33.1293852,-96.86943845,,,,,,,,
349142,10/17/2017 10:39,Neighborhood Traffic Issue,6300 BEAR LAKE RD,,"Integration, Citysourced",4/2/2019 1:44,CLOSED,2466385.554,7098280.814,33.1310522,-96.87345143,,,,,,,,
349143,10/17/2017 10:45,Neighborhood Traffic Issue,2400 TIMBER RIDGE DR,,"Integration, Citysourced",10/18/2017 3:02,CLOSED,2467651.19,7097707.701,33.1294232,-96.86934643,,,,,,,,
349144,10/17/2017 11:07,Neighborhood Traffic Issue,2300 QUIET OAK LN,,"Integration, Citysourced",10/18/2017 3:07,CLOSED,2467625.801,7097686.566,33.1293662,-96.86943044,,,,,,,,
349145,10/17/2017 11:34,Neighborhood Traffic Issue,2300 QUIET OAK LN,,"Integration, Citysourced",10/18/2017 3:10,CLOSED,2467632.863,7097685.221,33.1293622,-96.86940744,,,,,,,,
